code_in_XMLs	resolved_code_and_link	note	organization	location	status
DAOM	[[Collection DAOM|DAOM]]	Automatically matched with IH	Canadian National Mycological Herbarium - AAFC	Ottawa, Ontario, Canada	Active
DAR	[[Collection DAR|DAR]]	Automatically matched with IH	Orange Agricultural Institute	Orange, New South Wales, Australia	Active
DAU	[[Collection DAU|DAU]]	Automatically matched with IH	University of Daugavpils	Ilgas manor,  Skrudaliena parish, Daugavpils region, Latvia	Active
DAV	[[Collection DAV|DAV]]	Automatically matched with IH	University of California, Davis	Davis, California, U.S.A.	Active
DBM	[[Collection DBM|DBM]]	Not an OCR error. Not in IH-Collectors. DBN? Suggestion added in text			
DBN	[[Collection DBN|DBN]]	Automatically matched with IH	National Botanic Gardens of Ireland	Dublin, Ireland	Active
DNB	[[Collection DBN|DBN]]	Typo or alternative spelling. Should be DBN			
DBV	[[Collection DBV|DBV]]	Not an OCR error. Not in IH-Collectors. Hungary? Dubrovnik? DBY?			
DBY	[[Collection DBY|DBY]]	Automatically matched with IH	Derby Museum and Art Gallery	Derby, England, U.K.	Active
DD	[[Collection DD|DD]]	Automatically matched with IH	Forest Research Institute, Indian Council of Forestry Research and Education	Dehra Dun, Uttar Pradesh, India	Active
DE	[[Collection DE|DE]]	Automatically matched with IH	Debrecen University	Debrecen, Hungary	Active
DEE	[[Collection DEE|DEE]]	Automatically matched with IH	McManus: Dundee's Art Gallery & Museum	Dundee, Scotland, U.K.	Active
DELFT	[[Collection DELFT|DELFT]]	Alternative to CBS? Suggestion added in text			
DELS	[[Collection DELS|DELS]]	Automatically matched with IH	University of Delaware	Newark, Delaware, U.S.A.	Inactive
DFS	[[Collection DFS|DFS]]	Automatically matched with IH	Dumfries and Galloway Natural History and Antiquarian Society	Dumfries, Scotland, U.K.	Inactive
DGN	[[Collection DGN|DGN]]	Automatically matched with IH	Darlington Museum	Darlington, England, U.K.	Inactive
DH	[[Collection DH|DH]]	Automatically matched with IH	Hobart and William Smith Colleges	Geneva, New York, U.S.A.	Inactive
DHM	[[Collection DHM|DHM]]	Automatically matched with IH	University of Durham	Durham, England, U.K.	Inactive
DI	[[Collection DI|DI]]	Automatically matched with IH	Université de Bourgogne	Dijon, France	Active
DIN	[[Collection DIN|DIN]]	Automatically matched with IH	Muséum National d'Histoire Naturelle	Dinard, France	Active
DM	[[Collection DM|DM]]	Not an OCR error. Not in IH-Collectors			
DMNH	[[Collection DMNH|DMNH]]	Automatically matched with IH	Dayton Museum of Natural History	Dayton, Ohio, U.S.A.	Active
DNA	[[Collection DNA|DNA]]	Automatically matched with IH	NT Government	Palmerston, Northern Territory, Australia	Active
DO	[[Collection DO|DO]]	Automatically matched with IH	Société d'Agriculture Sciences et Arts	Douai, France	Inactive
DOMO	[[Collection DOMO|DOMO]]	Automatically matched with IH	Collegio Mellerio Rosmini	Domodossola, Italy	Active
DOR	[[Collection DOR|DOR]]	Automatically matched with IH	Dorset County Museum	Dorchester, England, U.K.	Active
DOV	[[Collection DOV|DOV]]	Automatically matched with IH	Delaware State University	Dover, Delaware, U.S.A.	Active
DPH	[[Collection DPU|DPU]]	Typo or alternative spelling. Should be DPU			
DPU	[[Collection DPU|DPU]]	Automatically matched with IH	DePauw University	Greencastle, Indiana, U.S.A.	Inactive
DR	[[Collection DR|DR]]	Automatically matched with IH	Technische Universität Dresden	Dresden, Germany	Active
DS	[[Collection DS|DS]]	Automatically matched with IH	California Academy of Sciences	San Francisco, California, U.S.A.	Inactive
DSB	–	Not a herbarium			
DSU	[[Collection DSU|DSU]]	Automatically matched with IH	Oles Honchar Dniprovsky National University	Dnipro, Ukraine	Active
DSY	[[Collection DSY|DSY]]	Automatically matched with IH	Dewsbury Museum	Dewsbury, England, U.K.	Permanently closed
DTC	–	After Letters – probably not a herbarium but archive			
DTO	[[Collection DTO|DTO]]	Not an OCR error. Not in IH-Collectors			
DUIS	[[Collection DUIS|DUIS]]	Automatically matched with IH	Universität Duisburg	Duisburg, Germany	Inactive
DUKE	[[Collection DUKE|DUKE]]	Automatically matched with IH	Duke University	Durham, North Carolina, U.S.A.	Active
DUL	[[Collection DUL|DUL]]	Automatically matched with IH	University of Minnesota Duluth	Duluth, Minnesota, U.S.A.	Active
DUM	[[Collection DUM|DUM]]	Not an OCR error. Not in IH-Collectors. Pakistan?			
DUR	[[Collection DUR|DUR]]	Automatically matched with IH	Southeastern Oklahoma State University	Durant, Oklahoma, U.S.A.	Active
DW	[[Collection DW|DW]]	Not an OCR error. Same in IH-Collectors			
DVVC	[[Collection DWC|DWC]]	OCR error			
DWC	[[Collection DWC|DWC]]	Automatically matched with IH	West Chester University	West Chester, PA, U.S.A.	Active
DWG	[[Collection DWC|DWC]]	OCR error			
DWL	[[Collection DWL|DWL]]	Not an OCR error. Not in IH-Collectors			
DZS	[[Collection DZS|DZS]]	Automatically matched with IH	Wiltshire Museum	Devizes, England, U.K.	Active
E	[[Collection E|E]]	Automatically matched with IH	Royal Botanic Garden Edinburgh	Edinburgh, Scotland, U.K.	Active
CA	[[Collection EA|EA]]	Typo or alternative spelling. Should be EA			
EA	[[Collection EA|EA]]	Automatically matched with IH	National Museums of Kenya	Nairobi, Kenya	Active
EAA	[[Collection EAA|EAA]]	Automatically matched with IH	Estonian University of Life Sciences	Tartu, Estonia	Active
EAC	[[Collection EAC|EAC]]	Automatically matched with IH	Universidade Federal do Ceará	Fortaleza, Ceará, Brazil	Active
EAN	[[Collection EAN|EAN]]	Automatically matched with IH	Universidade Federal da Paraiba, Campus III - CCA	Areia, Paraíba, Brazil	Active
EAP	[[Collection EAP|EAP]]	Automatically matched with IH	Escuela Agrícola Panamericana	Tegucigalpa, Honduras	Active
EBH	[[Collection EBH|EBH]]	Automatically matched with IH	Botanical Society of Edinburgh	Edinburgh, Scotland, U.K.	Inactive
ECH	[[Collection ECH|ECH]]	Automatically matched with IH	Elmira College	Elmira, New York, U.S.A.	Active
ECON	[[Collection ECON|ECON]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
EGBH	[[Collection EGHB|EGHB]]	Typo or alternative spelling. Should be EGHB			
EGHB	[[Collection EGHB|EGHB]]	Automatically matched with IH	University of Edinburgh	Edinburgh, Scotland, U.K.	Permanently closed
EGR	[[Collection EGR|EGR]]	Automatically matched with IH	Eszterhazy Karoly University of Applied Sciences	Eger, Hungary	Active
EM	[[Collection EM|EM]]	Automatically matched with IH	Universidade Federal de Ouro Prêto	Ouro Prêto, Minas Gerais, Brazil	Inactive
EMC	[[Collection EMC|EMC]]	Automatically matched with IH	Eastern Michigan University	Ypsilanti, Michigan, U.S.A.	Active
ENAG	[[Collection ENAG|ENAG]]	Automatically matched with IH	Universidad Nacional Agraria	Managua, Nicaragua	Active
ENT	[[Collection ENT|ENT]]	Automatically matched with IH	Ministry of Natural Resources	Entebbe, Uganda	Active
EP	–	Not a herbarium: Engler and Prantl			
EPM	[[Collection EPM|EPM]]	Automatically matched with IH	Epsom College Museum	Epsom, England, U.K.	Inactive
EL	[[Collection ER|ER]]	Typo or alternative spelling. Should be ER			
ER	[[Collection ER|ER]]	Automatically matched with IH	Universität Erlangen-Nürnberg	Erlangen, Germany	Active
ERE	[[Collection ERE|ERE]]	Automatically matched with IH	Institute of Botany of the National Academy of Sciences of Armenia	Yerevan, Armenia	Active
ERN	[[Collection ERN|ERN]]	Not an OCR error. Not in IH-Collectors. CERN? Suggestion added in text			
ERZ	[[Collection ERZ|ERZ]]	Automatically matched with IH	Fürstin-Eugenie-Institut für Arzneipflanzenforschung	Lindich, Germany	Inactive
ESAL	[[Collection ESAL|ESAL]]	Automatically matched with IH	Universidade Federal de Lavras	Lavras, Minas Gerais, Brazil	Active
ETH	[[Collection ETH|ETH]]	Automatically matched with IH	Addis Ababa University	Addis Ababa, Ethiopia	Active
EVMU	[[Collection EVMU|EVMU]]	Automatically matched with IH	Everhart Museum	Scranton, Pennsylvania, U.S.A.	Inactive
EXR	[[Collection EXR|EXR]]	Automatically matched with IH	University of Exeter	Exeter, England, U.K.	Permanently closed
F	[[Collection F|F]]	Automatically matched with IH	Field Museum of Natural History	Chicago, Illinois, U.S.A.	Active
FG	[[Collection F|F]], [[Collection G|G]]	Fused F and G			
FABR	[[Collection FABR|FABR]]	Automatically matched with IH	Harmas de J. H. Fabre	Sérignan-du-Comtat, France	Temporarily closed
FARM	[[Collection FARM|FARM]]	Automatically matched with IH	Longwood University	Farmville, Virginia, U.S.A.	Active
FAS	–	Not a herbarium: library of FA Stafleu			
FB	[[Collection FB|FB]]	Automatically matched with IH	Albert-Ludwigs Universität	Freiburg, Germany	Active
FC	[[Collection FC|FC]]	Not an OCR error. Not in IH-Collectors. Fused F ang G?			
FCME	[[Collection FCME|FCME]]	Automatically matched with IH	Universidad Nacional Autónoma de México, Ciudad Universitaria	Mexico City, Distrito Federal, Mexico	Active
FDG	[[Collection FDG|FDG]]	Automatically matched with IH	Guyana Forestry Commission	Georgetown, Guyana	Active
FH	[[Collection FH|FH]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
FN	[[Collection FH|FH]]	Typo or alternative spelling. Should be FH			
FHI	[[Collection FHI|FHI]]	Automatically matched with IH	Forestry Research Institute of Nigeria	Ibadan, Oyo, Nigeria	Active
FHKSC	[[Collection FHKSC|FHKSC]]	Automatically matched with IH	Fort Hays State University	Hays, Kansas, U.S.A.	Active
FHO	[[Collection FHO|FHO]]	Automatically matched with IH	University of Oxford	Oxford, England, U.K.	Active
FI	[[Collection FI|FI]]	Automatically matched with IH	Natural History Museum	Firenze, Italy	Active
FJ	[[Collection FI|FI]]	Typo or alternative spelling. Should be FI			
FL	[[Collection FI|FI]]	OCR error			
FIAF	[[Collection FIAF|FIAF]]	Automatically matched with IH	Università degli Studi di Firenze	Firenze, Italy	Active
FIPF	[[Collection FIPF|FIPF]]	Automatically matched with IH	Università di Firenze	Firenze, Italy	Active
FLA	[[Collection FLA|FLA]]	Not an OCR error. Not in IH-Collectors			
FLAS	[[Collection FLAS|FLAS]]	Automatically matched with IH	Florida Museum of Natural History	Gainesville, Florida, U.S.A.	Active
FLOR	[[Collection FLOR|FLOR]]	Automatically matched with IH	Universidade Federal de Santa Catarina	Florianópolis, Santa Catarina, Brazil	Active
FM	[[Collection FM|FM]]	Automatically matched with IH	Fan Memorial Institute of Biology	Beijing, Beijing, People's Republic of China	Inactive
FMC	[[Collection FMC|FMC]]	Automatically matched with IH	North Museum of Natural History and Science	Lancaster, Pennsylvania, U.S.A.	Active
FPF	[[Collection FPF|FPF]]	Automatically matched with IH	Rocky Mountain Research Station, USDA Forest Service	Flagstaff, Arizona, U.S.A.	Inactive
FR	[[Collection FR|FR]]	Automatically matched with IH	Senckenberg Gesellschaft für Naturforschung: Senckenberg Forschungsinstitut und Naturmuseum	Frankfurt, Germany	Active
FRC	[[Collection FRC|FRC]]	Automatically matched with IH	Institute of Forest Genetics and Tree Breeding	Coimbatore, Tamil Nadu, India	Active
FRI	[[Collection FRI|FRI]]	Automatically matched with IH	Commonwealth Scientific and Industrial Research Organization (CSIRO)	Canberra, Australian Capital Territory, Australia	Permanently closed
FRS	[[Collection FRS|FRS]]	Automatically matched with IH	Falconer Museum	Forres, Scotland, U.K.	Active
FT	[[Collection FT|FT]]	Automatically matched with IH	Centro Studi Erbario Tropicale, Università degli Studi di Firenze	Firenze, Italy	Active
FTG	[[Collection FTG|FTG]]	Automatically matched with IH	Fairchild Tropical Botanic Garden	Miami, Florida, U.S.A.	Active
FU	[[Collection FU|FU]]	Automatically matched with IH	Kyushu University	Fukuoka, Fukouka, Japan	Active
FW	[[Collection FW|FW]]	Automatically matched with IH	Texas Christian University	Fort Worth, Texas, U.S.A.	Inactive
FWM	[[Collection FWM|FWM]]	Automatically matched with IH	Fort Worth Museum of Science and History	Fort Worth, Texas, U.S.A.	Inactive
G	[[Collection G|G]]	Automatically matched with IH	Conservatoire et Jardin botaniques de la Ville de Genève	Genève, Switzerland	Active
GA	[[Collection GA|GA]]	Automatically matched with IH	University of Georgia	Athens, Georgia, U.S.A.	Active
GAES	[[Collection GAES|GAES]]	Automatically matched with IH	Georgia Agricultural Experiment Station	Experiment, Georgia, U.S.A.	Inactive
GALW	[[Collection GALW|GALW]]	Automatically matched with IH	National University of Ireland, Galway	Galway, Ireland	Active
GAT	[[Collection GAT|GAT]]	Automatically matched with IH	Leibniz Institute of Plant Genetics and Crop Plant Research (IPK)	Gatersleben, Stadt Seeland, Germany	Active
GB	[[Collection GB|GB]]	Automatically matched with IH	University of Gothenburg	Göteborg, Sweden	Active
GC	[[Collection GC|GC]]	Automatically matched with IH	University of Ghana	Legon, Ghana	Active
GDA	[[Collection GDA|GDA]]	Automatically matched with IH	Universidad de Granada	Granada, Spain	Active
GDC	[[Collection GDC|GDC]]	Not an OCR error. Probably G-DC. Suggestion added in text			
GDOR	[[Collection GDOR|GDOR]]	Automatically matched with IH	Museo Civico di Storia Naturale Giacomo Doria	Genova, Italy	Active
GE	[[Collection GE|GE]]	Automatically matched with IH	Università degli Studi di Genova	Genova, Italy	Temporarily closed
GENT	[[Collection GENT|GENT]]	Automatically matched with IH	Ghent University	Ghent, Belgium	Active
GEO	[[Collection GEO|GEO]]	Automatically matched with IH	Emory University	Atlanta, Georgia, U.S.A.	Active
GFW	[[Collection GFW|GFW]]	Automatically matched with IH	Ernst-Moritz-Arndt-Universität	Greifswald, Germany	Active
GGO	[[Collection GGO|GGO]]	Automatically matched with IH	Culture and Sport Glasgow	Glasgow, Scotland, U.K.	Active
GH	[[Collection GH|GH]]	Automatically matched with IH	Harvard University	Cambridge, Massachusetts, U.S.A.	Active
GI	[[Collection GI|GI]]	Automatically matched with IH	Justus-Liebig-Universität Giessen	Giessen, Germany	Active
GIESSEN	[[Collection GI|GIESSEN]]	Clearly resolved within TL-2			
GJO	[[Collection GJO|GJO]]	Automatically matched with IH	Universalmuseum Joanneum	Graz, Austria	Active
GL	[[Collection GL|GL]]	Automatically matched with IH	Culture and Sport Glasgow	Glasgow, Scotland, U.K.	Active
GLAM	[[Collection GLAM|GLAM]]	Automatically matched with IH	Culture and Sport Glasgow	Glasgow, Scotland, U.K.	Active
GLEN	[[Collection GLEN|GLEN]]	Automatically matched with IH	Rappahannock Community College	Glenns, Virginia, U.S.A.	Inactive
GLM	[[Collection GLM|GLM]]	Automatically matched with IH	Senckenberg Gesellschaft für Naturforschung: Senckenberg Museum für Naturkunde Görlitz	Görlitz, Germany	Active
GLR	[[Collection GLR|GLR]]	Automatically matched with IH	Gloucester City Museum and Art Gallery	Gloucester, England, U.K.	Active
GLW	[[Collection GLW|GLW]]	Automatically matched with IH	Andersonian Naturalists' Society	Glasgow, Scotland, U.K.	Inactive
GM	[[Collection GM|GM]]	Automatically matched with IH	Museum of Southeastern Moravia	Zlín, Czech Republic	Active
GMS	[[Collection GMS|GMS]]	Automatically matched with IH	Hopkins Marine Station, Stanford University	Pacific Grove, California, U.S.A.	Active
GOD	[[Collection GOD|GOD]]	Automatically matched with IH	Charterhouse School Herbarium	Godalming, England, U.K.	Active
GOET	[[Collection GOET|GOET]]	Automatically matched with IH	Universität Göttingen	Göttingen, Germany	Active
GOTHA	[[Collection Gotha|Gotha]]	In Forschungsbibliothek Gotha. Not Nat. Hist. Museum of Gotha.			
GR	[[Collection GR|GR]]	Automatically matched with IH	University Grenoble Alpes	Grenoble, France	Active
GRA	[[Collection GRA|GRA]]	Automatically matched with IH	Albany Museum	Grahamstown, Eastern Cape Province, Republic of South Africa	Active
GRI	[[Collection GRI|GRI]]	Automatically matched with IH	Grinnell College	Grinnell, Iowa, U.S.A.	Active
GRM	[[Collection GRM|GRM]]	Automatically matched with IH	Muséum d'Histoire Naturelle de Grenoble	Grenoble, France	Active
GRD	[[Collection GRO|GRO]]	Typo or alternative spelling. Should be GRO			
GRO	[[Collection GRO|GRO]]	Automatically matched with IH	State University of Groningen	Haren, Netherlands	Permanently closed
GRON	[[Collection GRO|GRON]]	Clearly resolved within TL-2			
GU	[[Collection GU|GU]]	Automatically matched with IH	Gotland University	Visby, Sweden	Active
GUA	[[Collection GUA|GUA]]	Automatically matched with IH	DIVEA, DEP, FEEMA	Rio de Janeiro, Rio de Janeiro, Brazil	Permanently closed
GW	[[Collection GW|GW]]	Automatically matched with IH	West of Scotland College of Agriculture	Auchincruive, Scotland, U.K.	Inactive
GZA	[[Collection GZU|GZU]]	Typo or alternative spelling. Should be GZU			
GZU	[[Collection GZU|GZU]]	Automatically matched with IH	Karl-Franzens-Universität Graz	Graz, Austria	Active
H	[[Collection H|H]]	Automatically matched with IH	University of Helsinki	Helsinki, Finland	Active
HAB	[[Collection HAB (sensu TL-2)|HAB]]	Should be the same as HABA. New page made for HAB, linked to [[Collection HAC|HAC]] in turn.			
HABE	[[Collection HABE|HABE]]	Automatically matched with IH	Instituto de Biología	Habana (Havana), Cuba	Inactive
HAC	[[Collection HAC|HAC]]	Automatically matched with IH	Instituto de Ecología y Sistemática	Habana (Havana), Cuba	Active
HAJB	[[Collection HAJB|HAJB]]	Automatically matched with IH	Jardín Botánico Nacional, Universidad de La Habana	Habana (Havana), Cuba	Active
HAL	[[Collection HAL|HAL]]	Automatically matched with IH	Martin-Luther-Universität	Halle, Germany	Active
HAM	[[Collection HAM|HAM]]	Automatically matched with IH	Royal Botanical Gardens	Hamilton, Ontario, Canada	Active
HAMU	[[Collection HAMU|HAMU]]	Automatically matched with IH	University of Newcastle upon Tyne	Newcastle upon Tyne, England, U.K.	Active
HAN	[[Collection HAN|HAN]]	Automatically matched with IH	Universität Hannover	Hannover, Germany	Inactive
HB	[[Collection HB|HB]]	Automatically matched with IH	Herbarium Bradeanum	Rio de Janeiro, Rio de Janeiro, Brazil	Active
HBBS	[[Collection HBBS|HBBS]]	Automatically matched with IH	Museo Civico di Scienze Naturali	Brescia, Italy	Active
HBF	[[Collection HBF|HBF]]	Not an OCR error. Not in IH-Collectors. HBG?			
HBG	[[Collection HBG|HBG]]	Automatically matched with IH	University of Hamburg	Hamburg, Germany	Active
HBIL	[[Collection HBIL|HBIL]]	Automatically matched with IH	Institut d'Estudis Ilerdencs	Lleida, Spain	Active
HBR	[[Collection HBR|HBR]]	Automatically matched with IH	Universidade do Vale do Itajaí	Itajaí, Santa Catarina, Brazil	Active
HCIO	[[Collection HCIO|HCIO]]	Automatically matched with IH	Indian Agricultural Research Institute	New Delhi, Delhi Union Territory, India	Active
HDD	[[Collection HDD|HDD]]	Automatically matched with IH	Tolson Memorial Museum	Huddersfield, England, U.K.	Active
HEID	[[Collection HEID|HEID]]	Automatically matched with IH	University of Heidelberg	Heidelberg, Germany	Active
HEL	[[Collection HEL|HEL]]	Automatically matched with IH	University of Helsinki	Helsinki, Finland	Inactive
HERZ	[[Collection HERZ|HERZ]]	Automatically matched with IH	Alexander Herzen Pedagogical University	Saint Petersburg, Russia	Active
HFX	[[Collection HFX|HFX]]	Automatically matched with IH	Bankfield Museum and Art Gallery	Halifax, England, U.K.	Inactive
HH	[[Collection HH (sensu TL-2)|HH]]	Not the same as HH in IH	Harvard University	Cambridge, U.S.A.	Active
HI	–	Probably not a herbarium			
HIL	[[Collection HIL|HIL]]	Not an OCR error. Same in IH-Collectors			
HIRO	[[Collection HIRO|HIRO]]	Automatically matched with IH	Hiroshima University	Higashi-Hiroshima-shi, Hiroshima-ken, Japan	Active
HK	[[Collection HK|HK]]	Automatically matched with IH	Agriculture, Fisheries, and Conservation Department	Hong Kong, Hong Kong, People's Republic of China	Active
HLU	[[Collection HLU|HLU]]	Automatically matched with IH	University of Hull	Kingston upon Hull, England, U.K.	Active
HMAS	[[Collection HMAS|HMAS]]	Automatically matched with IH	Chinese Academy of Sciences	Beijing, Beijing, People's Republic of China	Active
HME	[[Collection HME|HME]]	Automatically matched with IH	Haslemere Educational Museum	Haslemere, England, U.K.	Status unknown
HNH	[[Collection HNH|HNH]]	Automatically matched with IH	Dartmouth College	Hanover, New Hampshire, U.S.A.	Active
HNL	[[Collection HNL|HNL]]	Automatically matched with IH	Conseil National des Sciences	Vientiane, Laos	Active
HO	[[Collection HO|HO]]	Automatically matched with IH	Tasmanian Museum and Art Gallery	Hobart, Tasmania, Australia	Active
HOH	[[Collection HOH|HOH]]	Automatically matched with IH	Universität Hohenheim (190)	Stuttgart-Hohenheim, Germany	Active
HOU	[[Collection HOU|HOU]]	Automatically matched with IH	University of Houston	Houston, Texas, U.S.A.	Inactive
HPC	[[Collection HPC|HPC]]	Automatically matched with IH	Howard Payne University	Brownwood, Texas, U.S.A.	Active
HPH	[[Collection HPH|HPH]]	Automatically matched with IH	Monroe County Department of Parks	Rochester, New York, U.S.A.	Active
HPM	[[Collection HPM|HPM]]	Automatically matched with IH	Houston Museum of Natural Science	Houston, Texas, U.S.A.	Inactive
HPP	[[Collection HPP|HPP]]	Automatically matched with IH	University of Helsinki	Helsinki, Finland	Inactive
HR	[[Collection HR|HR]]	Automatically matched with IH	Muzeum Východních Cech	Hradec Králové, Czech Republic	Active
HSI	[[Collection HSI|HSI]]	Automatically matched with IH	University of Helsinki	Helsinki, Finland	Inactive
HSM	[[Collection HSM|HSM]]	Automatically matched with IH	Christ's Hospital	Horsham, England, U.K.	Active
HTE	[[Collection HTE|HTE]]	Automatically matched with IH	Queen Ethelburga's School	Harrogate, England, U.K.	Active
HU	[[Collection HU|HU]]	Automatically matched with IH	University of Zhejiang	Hangzhou, Zhejiang, People's Republic of China	Inactive
HUJ	[[Collection HUJ|HUJ]]	Automatically matched with IH	The Hebrew University of Jerusalem	Jerusalem, Jerusalem, Israel	Active
HUL	[[Collection HUL|HUL]]	Automatically matched with IH	Fine Arts Museum	Kingston upon Hull, England, U.K.	Inactive
HUTH	[[Collection HUTH|HUTH]]	Not an OCR error. Same in IH-Collectors			
HWA	[[Collection HWA|HWA]]	Automatically matched with IH	Southwest Agricultural University	Chongqing, Chongqing, People's Republic of China	Active
HWB	[[Collection HWB|HWB]]	Automatically matched with IH	Harrow School	London, England, U.K.	Inactive
I	[[Collection I|I]]	Automatically matched with IH	"""Alexandru Ioan Cuza"" University"	Iasi, Romania	Active
IA	[[Collection IA|IA]]	Automatically matched with IH	University of Iowa	Iowa City, Iowa, U.S.A.	Permanently closed
IAC	[[Collection IAC|IAC]]	Automatically matched with IH	Instituto Agronômico de Campinas	Campinas, São Paulo, Brazil	Active
IAG	[[Collection IAC|IAC]]	OCR error			
IACM	[[Collection IACM|IACM]]	Automatically matched with IH	Instituto Agronômico	Campinas, São Paulo, Brazil	Active
IAN	[[Collection IAN|IAN]]	Automatically matched with IH	Embrapa Amazônia Oriental, Ministry of Agriculture	Belém, Pará, Brazil	Active
IARI	[[Collection IARI|IARI]]	Automatically matched with IH	Indian Agricultural Research Institute	New Delhi, Delhi Union Territory, India	Active
IASI	[[Collection IASI|IASI]]	Automatically matched with IH	"University of Agricultural Sciences and Veterinary Medicine  ""Ion Ionescu de la Brad"""	Iasi, Romania	Active
IAV	[[Collection IAV|IAV]]	Automatically matched with IH	Institut Agronomique et Vétérinaire Hassan II	Rabat, Morocco	Active
IB	[[Collection IB|IB]]	Automatically matched with IH	Universität Innsbruck	, Austria	Active
IBF	[[Collection IBF|IBF]]	Automatically matched with IH	Tiroler Landesmuseum	Hall in Tirol, Austria	Active
IBT	[[Collection IBF|IBF]]	Typo or alternative spelling. Should be IBF			
IBI	[[Collection IBI|IBI]]	Automatically matched with IH	Instituto Biológico	São Paulo, São Paulo, Brazil	Active
IBIR	[[Collection IBIR|IBIR]]	Automatically matched with IH	Institutul Agronomic	Iasi, Romania	Active
IBK	[[Collection IBK|IBK]]	Automatically matched with IH	Guangxi Institute of Botany	Guilin, Guangxi Zhuang Autonomous Region, People's Republic of China	Active
IBL	[[Collection IBL|IBL]]	Automatically matched with IH	Independent Biological Laboratories	Kefar Malal, Israel	Inactive
IBN	[[Collection IBN|IBN]]	Not an OCR error. Not in IH-Collectors. Probably in Ireland			
IBS	[[Collection IBS|IBS]]	Automatically matched with IH	Irish Biogeographical Society	Bray, Co. Wicklow, Ireland	Inactive
IBSC	[[Collection IBSC|IBSC]]	Automatically matched with IH	South China Botanical Garden	Guangzhou, Guangdong, People's Republic of China	Active
JBSC	[[Collection IBSC|IBSC]]	Typo or alternative spelling. Should be IBSC			
IC	[[Collection IC|IC]]	Not an OCR error. Only in IH-Collectors			
ICD	[[Collection ICD|ICD]]	Not an OCR error. Not in IH-Herbaria or IH-Collectors			
ICEL	[[Collection ICEL|ICEL]]	Automatically matched with IH	Icelandic Institute of Natural History	Garðabær, Iceland	Active
IEC	[[Collection IEC|IEC]]	Automatically matched with IH	Centre D'Etude sur les Ressources Végétales	Brazzaville, Congo Republic (Congo-Brazzaville)	Active
IFAN	[[Collection IFAN|IFAN]]	Automatically matched with IH	Institut Fondamental d'Afrique Noire	Dakar, Senegal	Inactive
IFGP	[[Collection IFGP|IFGP]]	Automatically matched with IH	Institute of Forest Genetics, Pacific Southwest Research Station, USDA Forest Service	Placerville, California, U.S.A.	Active
IJ	[[Collection IJ|IJ]]	Automatically matched with IH	Natural History Museum of Jamaica (NHMJ)	Kingston, Jamaica	Active
ILH	[[Collection ILH|ILH]]	Automatically matched with IH	Iowa Lakeside Laboratory	Milford, Iowa, U.S.A.	Active
ILC	[[Collection ILL|ILL]]	Typo. Fixed to what is in IH6-authors			
ILL	[[Collection ILL|ILL]]	Automatically matched with IH	University of Illinois at Urbana-Champaign	Champaign, Illinois, U.S.A.	Active
ILLS	[[Collection ILLS|ILLS]]	Automatically matched with IH	Illinois Natural History Survey, Illinois Department of Natural Resources	Champaign, Illinois, U.S.A.	Active
CMI	[[Collection IMI|CMI]]	Clearly resolved within TL-2			
IMI	[[Collection IMI|IMI]]	Automatically matched with IH	CABI Bioscience UK Centre	Egham, England, U.K.	Active
INA	[[Collection INA|INA]]	Automatically matched with IH	Instituto Nun'Alvres	Santo Tirso, Portugal	Active
IND	[[Collection IND|IND]]	Automatically matched with IH	Indiana University	Bloomington, Indiana, U.S.A.	Active
INEAC	[[Collection INEAC|INEAC]]	Vague reference to INEAC collections.			
IPA	[[Collection IPA|IPA]]	Automatically matched with IH	Empresa Pernambucana de Pesquisa Agropecuária, IPA	Recife, Pernambuco, Brazil	Active
IPC	[[Collection IPC|IPC]]	Clearly resolved within TL-2			
IPS	[[Collection IPS|IPS]]	Automatically matched with IH	Ipswich Museum	Ipswich, England, U.K.	Active
ISC	[[Collection ISC|ISC]]	Automatically matched with IH	Iowa State University	Ames, Iowa, U.S.A.	Active
ISM	[[Collection ISM|ISM]]	Automatically matched with IH	Illinois State Museum	Springfield, Illinois, U.S.A.	Active
ISTF	[[Collection ISTF|ISTF]]	Automatically matched with IH	Istanbul University	İstanbul, Turkey	Active
ITIC	[[Collection ITIC|ITIC]]	Automatically matched with IH	Universidad de El Salvador	San Salvador, El Salvador	Active
IU	[[Collection IU|IU]]	Not an OCR error. IH-Collectors refers to BUT. Suggestion added in text			
IUP	[[Collection IUP|IUP]]	Automatically matched with IH	Indiana University of Pennsylvania	Indiana, Pennsylvania, U.S.A.	Active
J	[[Collection J|J]]	Automatically matched with IH	University of the Witwatersrand	Johannesburg, Gauteng Province, Republic of South Africa	Active
JAC	[[Collection JAC|JAC]]	Automatically matched with IH	University of Jodhpur	Jodhpur, Rajasthan, India	Active
JAM	[[Collection JAM|JAM]]	Made a page manually with IH6 information			
JBVN	[[Collection JBVN|JBVN]]	Automatically matched with IH	Jardin Botanique de la Ville de Nice	Nice, France	Active
JE	[[Collection JE|JE]]	Automatically matched with IH	Friedrich Schiller University Jena	Jena, Germany	Active
JF	[[Collection JE|JE]]	Typo or alternative spelling. Should be JE			
