code_in_XMLs	resolved_code_and_link	note	organization	location	status
PDD	[[Collection PDD|PDD]]	Automatically matched with IH	Manaaki Whenua - Landcare Research	Auckland, New Zealand	Active
PE	[[Collection PE|PE]]	Automatically matched with IH	Institute of Botany, Chinese Academy of Sciences	Beijing, Beijing, People's Republic of China	Active
PEL	[[Collection PEL|PEL]]	Automatically matched with IH	Universidade Federal de Pelotas	Pelotas, Rio Grande do Sul, Brazil	Active
PEN	[[Collection PEN|PEN]]	Automatically matched with IH	Penrith Museum	Penrith, England, U.K.	Active
PENN	[[Collection PENN|PENN]]	Automatically matched with IH	University of Pennsylvania	Philadelphia, Pennsylvania, U.S.A.	Inactive
PERTH	[[Collection PERTH|PERTH]]	Automatically matched with IH	Western Australian Herbarium	Kensington, Western Australia, Australia	Active
PERU	[[Collection PERU|PERU]]	Automatically matched with IH	Università di Perugia	Perugia, Italy	Active
PG	[[Collection PG|PG]]	Automatically matched with IH	Plant Gateway	Kingston-upon-Thames, Surrey, U.K.	Active
PH	[[Collection PH|PH]]	Automatically matched with IH	Academy of Natural Sciences	Philadelphia, Pennsylvania, U.S.A.	Active
PHA	[[Collection PHA|PHA]]	Automatically matched with IH	Pharmaceutical Society of Great Britain	London, England, U.K.	Inactive
PHIL	[[Collection PHIL|PHIL]]	Automatically matched with IH	University of the Sciences	Philadelphia, Pennsylvania, U.S.A.	Active
PI	[[Collection PI|PI]]	Automatically matched with IH	Università di Pisa (Italy)	Pisa, Italy	Active
QI	[[Collection PI|PI]]	Typo or alternative spelling. Should be PI			
PICH	[[Collection PICH|PICH]]	Not an OCR error. Not in IH-Collectors			
PKDC	[[Collection PKDC|PKDC]]	Automatically matched with IH	Divisão de Museu de História Natural	Curitiba, Paraná, Brazil	Inactive
PKM	[[Collection PKM|PKM]]	Automatically matched with IH	Penza State University	Penza, Russia	Active
PL	[[Collection PL|PL]]	Automatically matched with IH	Západoceské muzeum	Plzen, Czech Republic	Active
PLY	[[Collection PLY|PLY]]	Automatically matched with IH	Plymouth Institution and Athenaeum	Plymouth, England, U.K.	Inactive
PNH	[[Collection PNH|PNH]]	Automatically matched with IH	National Museum	Manila, Philippines	Active
PO	[[Collection PO|PO]]	Automatically matched with IH	Universidade do Porto	Porto, Portugal	Active
POLL	[[Collection POLL|POLL]]	Automatically matched with IH	Pfalzmuseum für Naturkunde	Bad Dürkheim, Germany	Active
POM	[[Collection POM|POM]]	Automatically matched with IH	Pomona College	Claremont, California, U.S.A.	Inactive
POP	[[Collection POP|POP]]	Automatically matched with IH	Podtatranské museum in Poprad	Poprad, Slovakia	Active
POR	[[Collection POR|POR]]	Automatically matched with IH	Università degli Studi di Napoli Federico II	Portici, Italy	Active
POZ	[[Collection POZ|POZ]]	Automatically matched with IH	Adam Mickiewicz University	Poznań, Poland	Active
PR	[[Collection PR|PR]]	Automatically matched with IH	National Museum in Prague	Praha, Czech Republic	Active
PRC	[[Collection PRC|PRC]]	Automatically matched with IH	Charles University, Prague	Praha, Czech Republic	Active
PRE	[[Collection PRE|PRE]]	Automatically matched with IH	South African National Biodiversity Institute	Pretoria, Gauteng Province, Republic of South Africa	Active
PREM	[[Collection PREM|PREM]]	Automatically matched with IH	Plant Protection Research Institute	Pretoria, Gauteng Province, Republic of South Africa	Active
PRIV	–	Private? Link deleted			
PRM	[[Collection PRM|PRM]]	Automatically matched with IH	National Museum	Praha, Czech Republic	Active
PRU	[[Collection PRU|PRU]]	Automatically matched with IH	University of Pretoria	Hatfield, Pretoria, Republic of South Africa	Active
PSCB	[[Collection PSGB|PSGB]]	Typo or alternative spelling. Should be PSGB			
PSGB	[[Collection PSGB|PSGB]]	Automatically matched with IH	University of Bradford	Bradford, England, U.K.	Inactive
PSO	[[Collection PSO|PSO]]	Automatically matched with IH	Universidad de Nariño	Pasto, Nariño, Colombia	Active
PTH	[[Collection PTH|PTH]]	Automatically matched with IH	Perth Museum and Art Gallery	Perth, Scotland, U.K.	Active
PTM	[[Collection PTM|PTM]]	Not an OCR error. Not in IH-Collectors			
PU	[[Collection PU|PU]]	Not an OCR error. Same in IH-Collectors with PRU and PUC. Suggestion added in text for PUC			
PUC	[[Collection PUC|PUC]]	Automatically matched with IH	North-West University	Potchefstroom, North-West Province, Republic of South Africa	Active
